  PID TTY           TIME CMD
  763 ??         0:00.04 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storelegacy
  772 ??         0:00.43 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeassetd
  777 ??         0:00.11 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storedownloadd
  783 ??         0:00.54 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd
  799 ??         0:00.10 /System/Library/PrivateFrameworks/CommerceKit.framework/Resources/LaterAgent.app/Contents/MacOS/LaterAgent
  803 ??         0:00.31 /usr/libexec/fmfd
  804 ??         0:00.04 /System/Library/CoreServices/mapspushd
  806 ??         0:00.03 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/maspushagent
  808 ??         0:00.49 /System/Library/Image Capture/Support/Image Capture Extension.app/Contents/MacOS/Image Capture Extension
  811 ??         0:00.02 /Applications/Google Chrome.app/Contents/Versions/43.0.2357.130/Google Chrome Framework.framework/Helpers/crashpad_handler --database=/Users/asatoburen-pettit/Library/Application Support/Google/Chrome/Crashpad --url=https://clients2.google.com/cr/report --annotation=plat=OS X --annotation=prod=Chrome_Mac --annotation=ver=43.0.2357.130 --handshake-fd=7
  813 ??         0:00.02 /Applications/Preview.app/Contents/XPCServices/com.apple.Preview.TrustedBookmarksService.xpc/Contents/MacOS/com.apple.Preview.TrustedBookmarksService
  846 ??         0:00.02 /System/Library/PrivateFrameworks/CommunicationsFilter.framework/CMFSyncAgent.app/Contents/MacOS/CMFSyncAgent
  847 ??         0:37.97 /Users/asatoburen-pettit/.pia_manager/pia_tray.app/Contents/MacOS/pia_tray
  849 ??         0:01.84 /Library/Image Capture/Support/LegacyDeviceDiscoveryHelpers/CIJScannerRegister.app/Contents/MacOS/CIJScannerRegister
  850 ??         5:40.30 /Applications/Google Chrome.app/Contents/Versions/43.0.2357.130/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=gpu-process --channel=682.0.1224519634 --supports-dual-gpus=true --gpu-driver-bug-workarounds=16,25,30,41,44,50,56 --gpu-vendor-id=0x1002 --gpu-device-id=0x6760 --gpu-driver-vendor --gpu-driver-version
  851 ??         0:20.38 /System/Library/Frameworks/VideoToolbox.framework/Versions/A/XPCServices/VTDecoderXPCService.xpc/Contents/MacOS/VTDecoderXPCService
